name,totalVoters,ballotsCast,voterTurnout,percentReporting,perdue,ossoff,loeffler,warnock,county,sosid
Eddin,0,0,0.0,1,0,0,0,0,Dodge,091EDDIN
Empire,0,0,0.0,1,0,0,0,0,Dodge,091EMPIR
Jaybird,0,0,0.0,1,0,0,0,0,Dodge,091JAYBI
Jones,0,0,0.0,1,0,0,0,0,Dodge,091JONES
Lee,0,0,0.0,1,0,0,0,0,Dodge,091LEE
McCranie,0,0,0.0,1,0,0,0,0,Dodge,091MCCRA
Milan,0,0,0.0,1,0,0,0,0,Dodge,091MILAN
Mitchell,0,0,0.0,1,0,0,0,0,Dodge,091MITCH
Mullis,0,0,0.0,1,0,0,0,0,Dodge,091MULLI
Plainfield,0,0,0.0,1,0,0,0,0,Dodge,091PLAIN
Pondtown,0,0,0.0,1,0,0,0,0,Dodge,091PONDT
Rawlins,0,0,0.0,1,0,0,0,0,Dodge,091RAWLI
Vilula,0,0,0.0,1,0,0,0,0,Dodge,091VILUL
Yonker,0,0,0.0,1,0,0,0,0,Dodge,091YONKE
01 Big Creek,0,0,0.0,1,0,0,0,0,Forsyth,11701
02 Brandywine,0,0,0.0,1,0,0,0,0,Forsyth,11702
03 Browns Bridge,0,0,0.0,1,0,0,0,0,Forsyth,11703
04 Chestatee,0,0,0.0,1,0,0,0,0,Forsyth,11704
05 Coal Mountain,0,0,0.0,1,0,0,0,0,Forsyth,11705
06 Crossroads,0,0,0.0,1,0,0,0,0,Forsyth,11706
07 Cumming,0,0,0.0,1,0,0,0,0,Forsyth,11707
08 Mashburn,0,0,0.0,1,0,0,0,0,Forsyth,11708
10 Midway,0,0,0.0,1,0,0,0,0,Forsyth,11710
15 Heardsville,0,0,0.0,1,0,0,0,0,Forsyth,11715
16 Otwell,0,0,0.0,1,0,0,0,0,Forsyth,11716
19 Old Atlanta,0,0,0.0,1,0,0,0,0,Forsyth,11719
21 South Forsyth,0,0,0.0,1,0,0,0,0,Forsyth,11721
25 Windermere,0,0,0.0,1,0,0,0,0,Forsyth,11725
27 Concord,0,0,0.0,1,0,0,0,0,Forsyth,11727
29 Polo,0,0,0.0,1,0,0,0,0,Forsyth,11729
34 Fowler,0,0,0.0,1,0,0,0,0,Forsyth,11734
35 Johns Creek,0,0,0.0,1,0,0,0,0,Forsyth,11735
36 Nichols,0,0,0.0,1,0,0,0,0,Forsyth,11736
37 Sawnee,0,0,0.0,1,0,0,0,0,Forsyth,11737
Carnesville,0,1514,0.0,4,1352,160,1352,161,Franklin,1191
West Franklin,0,1016,0.0,4,910,104,909,103,Franklin,1192
Northeast Franklin,0,1784,0.0,4,1497,283,1498,282,Franklin,1193
Lavonia,0,1348,0.0,4,1042,304,1044,298,Franklin,1194
Canon,0,793,0.0,4,695,97,695,94,Franklin,1195
Royston,0,1209,0.0,4,959,248,953,253,Franklin,1196
Southwest Franklin,0,1537,0.0,4,1391,143,1386,148,Franklin,1197
01A,3764,2149,57.09,2,152,1994,139,2009,Fulton,12101A
01B,4391,2449,55.77,2,171,2277,156,2291,Fulton,12101B
01C,1943,463,23.83,2,14,447,10,451,Fulton,12101C
01D,783,324,41.38,2,14,307,13,309,Fulton,12101D
01E,3771,2233,59.22,2,232,1998,212,2020,Fulton,12101E
01F,1606,311,19.36,2,9,302,9,301,Fulton,12101F
01G,2360,891,37.75,2,42,849,39,852,Fulton,12101G
01H,911,252,27.66,2,3,248,2,248,Fulton,12101H
01I,2898,0,0.0,1,0,0,0,0,Fulton,12101I
01J,1470,851,57.89,2,28,822,26,823,Fulton,12101J
01P,1579,331,20.96,2,3,325,4,325,Fulton,12101P
01R,2144,208,9.7,2,1,206,1,206,Fulton,12101R
01S,1824,589,32.29,2,16,573,13,576,Fulton,12101S
01T,5025,539,10.73,2,31,507,26,512,Fulton,12101T
02A,736,2712,368.48,2,488,2223,470,2239,Fulton,12102A
02A1,4051,329,8.12,2,61,267,56,273,Fulton,12102A1
02B,2085,906,43.45,2,82,823,76,830,Fulton,12102B
02C,5690,905,15.91,2,59,843,56,849,Fulton,12102C
02D,2024,2591,128.01,2,301,2288,283,2307,Fulton,12102D
02E,3258,1196,36.71,2,83,1109,69,1125,Fulton,12102E
02F1,866,1704,196.77,2,180,1521,168,1535,Fulton,12102F1
02F2,3960,320,8.08,2,29,291,31,289,Fulton,12102F2
02G,2341,2045,87.36,2,218,1825,200,1841,Fulton,12102G
02J,1477,1175,79.55,2,119,1055,106,1068,Fulton,12102J
02K,5672,821,14.47,2,89,728,85,735,Fulton,12102K
02L1,1509,2860,189.53,2,419,2440,393,2464,Fulton,12102L1
02L1A,2379,744,31.27,2,103,641,101,643,Fulton,12102L1A
02L2,795,1026,129.06,2,131,893,117,908,Fulton,12102L2
02S,1016,329,32.38,2,22,306,20,309,Fulton,12102S
02W,2252,414,18.38,2,53,360,48,366,Fulton,12102W
03A,792,509,64.27,2,8,498,9,498,Fulton,12103A
03B,1910,122,6.39,2,3,119,2,120,Fulton,12103B
03C,1252,498,39.78,2,4,493,4,493,Fulton,12103C
03D,2929,278,9.49,2,11,265,10,268,Fulton,12103D
03E,2361,550,23.3,2,19,529,16,532,Fulton,12103E
03F,1041,1013,97.31,2,121,892,115,897,Fulton,12103F
03G,1112,148,13.31,2,4,144,2,146,Fulton,12103G
03H,1755,286,16.3,2,7,276,8,278,Fulton,12103H
03I,759,314,41.37,2,44,269,37,276,Fulton,12103I
03L,1173,124,10.57,2,5,118,4,120,Fulton,12103L
03M,2865,353,12.32,2,30,322,28,324,Fulton,12103M
03N,4529,444,9.8,2,15,427,13,431,Fulton,12103N
03P1A,27,1490,5518.52,2,137,1353,130,1359,Fulton,12103P1A
03P2,927,7,0.76,2,0,7,0,7,Fulton,12103P2
03S,1783,263,14.75,2,5,257,4,259,Fulton,12103S
03T,1574,536,34.05,2,19,512,15,520,Fulton,12103T
04A,2984,371,12.43,2,5,364,6,365,Fulton,12104A
04B,156,471,301.92,2,15,456,16,455,Fulton,12104B
04C,1749,33,1.89,2,0,33,0,33,Fulton,12104C
04D,2867,561,19.57,2,16,544,13,546,Fulton,12104D
04F,1045,758,72.54,2,49,708,46,711,Fulton,12104F
04G,4657,226,4.85,2,3,223,4,222,Fulton,12104G
04I,1622,593,36.56,2,33,559,32,557,Fulton,12104I
04J,2809,83,2.95,2,1,82,0,83,Fulton,12104J
04K,2039,884,43.35,2,21,863,24,860,Fulton,12104K
04L,1005,668,66.47,2,20,648,17,651,Fulton,12104L
04M,2570,182,7.08,2,3,178,4,178,Fulton,12104M
04S,1311,804,61.33,2,13,789,13,791,Fulton,12104S
04T,3628,436,12.02,2,11,424,11,424,Fulton,12104T
04V,3327,724,21.76,2,8,715,9,715,Fulton,12104V
04W,2306,58,2.52,2,1,56,0,58,Fulton,12104W
04X1,858,759,88.46,2,22,733,22,736,Fulton,12104X1
04X2,2984,281,9.42,2,9,271,9,272,Fulton,12104X2
05A1,3407,1566,45.96,2,107,1459,104,1462,Fulton,12105A1
05A2,2186,1775,81.2,2,119,1654,108,1667,Fulton,12105A2
05B,137,680,496.35,2,14,662,13,664,Fulton,12105B
05C,563,22,3.91,2,1,21,1,21,Fulton,12105C
05D,257,47,18.29,2,2,45,3,44,Fulton,12105D
05F,681,79,11.6,2,2,77,2,77,Fulton,12105F
05J,2889,311,10.76,2,17,293,17,294,Fulton,12105J
05K,1902,692,36.38,2,50,641,47,644,Fulton,12105K
06B,6223,1032,16.58,2,148,883,128,901,Fulton,12106B
06D,2549,3133,122.91,2,529,2599,508,2620,Fulton,12106D
06D1,846,1692,200.0,2,298,1394,269,1421,Fulton,12106D1
06D2,2390,585,24.48,2,134,449,129,456,Fulton,12106D2
06E,2907,1137,39.11,2,176,959,170,965,Fulton,12106E
06F,591,1521,257.36,2,229,1291,213,1306,Fulton,12106F
06G,4148,317,7.64,2,43,274,40,277,Fulton,12106G
06I,2824,1522,53.9,2,130,1390,127,1395,Fulton,12106I
06J,1011,1756,173.69,2,259,1497,235,1517,Fulton,12106J
06L1,733,657,89.63,2,162,494,151,506,Fulton,12106L1
06L2,1807,447,24.74,2,142,304,130,317,Fulton,12106L2
06N,564,836,148.23,2,296,540,278,558,Fulton,12106N
06Q,2052,214,10.43,2,10,204,9,205,Fulton,12106Q
06R,7836,1115,14.23,2,219,894,211,901,Fulton,12106R
07A,2995,3547,118.43,2,1366,2176,1314,2226,Fulton,12107A
07B,4596,1777,38.66,2,1020,755,981,796,Fulton,12107B
07C,4978,2287,45.94,2,954,1328,941,1340,Fulton,12107C
07D,2275,1999,87.87,2,745,1253,729,1270,Fulton,12107D
07E,3833,1282,33.45,2,356,921,347,934,Fulton,12107E
07F,2071,1913,92.37,2,731,1181,716,1193,Fulton,12107F
07H,3080,1213,39.38,2,469,743,448,764,Fulton,12107H
07J,2423,1527,63.02,2,519,1008,488,1036,Fulton,12107J
07M,2183,892,40.86,2,252,640,247,644,Fulton,12107M
07N,3136,811,25.86,2,101,709,97,714,Fulton,12107N
08A,3531,1727,48.91,2,816,911,791,932,Fulton,12108A
08B,1533,1995,130.14,2,1079,914,1036,958,Fulton,12108B
08C,1081,975,90.19,2,642,331,628,343,Fulton,12108C
08D,2593,702,27.07,2,458,243,445,256,Fulton,12108D
08E,2205,1697,76.96,2,956,738,917,776,Fulton,12108E
08F1,3125,1422,45.5,2,895,527,842,575,Fulton,12108F1
08G,2595,1410,54.34,2,523,880,511,892,Fulton,12108G
08H,3374,1638,48.55,2,866,770,840,795,Fulton,12108H
08J,1055,1804,171.0,2,782,1021,735,1064,Fulton,12108J
08K,4552,512,11.25,2,153,358,142,370,Fulton,12108K
08L,2371,2244,94.64,2,631,1611,598,1644,Fulton,12108L
08M,832,1250,150.24,2,746,504,716,533,Fulton,12108M
08N1,1614,526,32.59,2,320,205,303,223,Fulton,12108N1
08N2,1920,888,46.25,2,367,519,357,530,Fulton,12108N2
08P,3881,731,18.84,2,124,606,114,617,Fulton,12108P
09A,463,1938,418.57,2,410,1528,391,1546,Fulton,12109A
09B,3373,123,3.65,2,2,121,2,121,Fulton,12109B
09C,2329,1184,50.84,2,25,1157,22,1160,Fulton,12109C
09D,3296,624,18.93,2,12,612,7,617,Fulton,12109D
09E,3965,1076,27.14,2,62,1011,61,1015,Fulton,12109E
09F,15,2127,14180.0,2,772,1353,751,1374,Fulton,12109F
09G,5182,1851,35.72,2,344,1505,324,1526,Fulton,12109G
09H,1422,433,30.45,2,41,391,39,394,Fulton,12109H
09I,4095,360,8.79,2,18,342,12,346,Fulton,12109I
09K,1561,1090,69.83,2,35,1047,34,1050,Fulton,12109K
09K1,2610,366,14.02,2,6,360,6,360,Fulton,12109K1
09M,3230,1417,43.87,2,204,1212,187,1229,Fulton,12109M
10A,4003,1303,32.55,2,22,1279,17,1283,Fulton,12110A
10B,2624,2150,81.94,2,40,2106,37,2109,Fulton,12110B
10C,5041,861,17.08,2,11,850,7,854,Fulton,12110C
10D,1079,1498,138.83,2,16,1476,17,1479,Fulton,12110D
10E,1219,415,34.04,2,8,405,8,406,Fulton,12110E
10F,1339,447,33.38,2,13,434,10,437,Fulton,12110F
10G,445,675,151.69,2,16,658,10,664,Fulton,12110G
10H1,2651,197,7.43,2,1,196,2,195,Fulton,12110H1
10H2,333,805,241.74,2,18,784,19,786,Fulton,12110H2
10I,1251,225,17.99,2,1,224,2,223,Fulton,12110I
10J,1629,263,16.14,2,6,256,7,255,Fulton,12110J
10K,2930,778,26.55,2,22,756,21,757,Fulton,12110K
10M,1629,1129,69.31,2,27,1098,26,1102,Fulton,12110M
10P,929,498,53.61,2,8,489,5,493,Fulton,12110P
10R,4437,245,5.52,2,5,239,5,239,Fulton,12110R
11B,892,1815,203.48,2,26,1787,24,1791,Fulton,12111B
11B1,3170,380,11.99,2,7,373,7,373,Fulton,12111B1
11C,1360,1795,131.99,2,28,1766,26,1768,Fulton,12111C
11E1,1032,467,45.25,2,7,458,3,464,Fulton,12111E1
11E2,3641,431,11.84,2,3,426,2,428,Fulton,12111E2
11E3,2596,1405,54.12,2,22,1382,19,1385,Fulton,12111E3
11G,764,723,94.63,2,16,704,13,707,Fulton,12111G
11H,2103,288,13.69,2,5,283,5,282,Fulton,12111H
11J,2066,781,37.8,2,13,764,13,766,Fulton,12111J
11K,1400,925,66.07,2,18,904,15,908,Fulton,12111K
11M,2230,764,34.26,2,15,748,14,749,Fulton,12111M
11M1,2448,560,22.88,2,7,552,7,553,Fulton,12111M1
11N,2098,1102,52.53,2,18,1081,16,1086,Fulton,12111N
11P,2284,766,33.54,2,12,751,15,751,Fulton,12111P
11R,5047,565,11.19,2,8,554,9,554,Fulton,12111R
12A,690,2152,311.88,2,76,2073,73,2077,Fulton,12112A
12A1,1437,297,20.67,2,10,285,8,289,Fulton,12112A1
12D,1933,383,19.81,2,6,375,8,375,Fulton,12112D
12E1,1244,460,36.98,2,23,432,23,435,Fulton,12112E1
12F,900,320,35.56,2,6,314,6,314,Fulton,12112F
12G,1174,343,29.22,2,9,334,9,334,Fulton,12112G
12H1,3043,188,6.18,2,5,183,5,183,Fulton,12112H1
12H2,1092,930,85.16,2,17,911,16,913,Fulton,12112H2
12I,3213,340,10.58,2,4,333,5,334,Fulton,12112I
12J,3655,868,23.75,2,18,849,17,849,Fulton,12112J
12K,781,1119,143.28,2,49,1066,43,1073,Fulton,12112K
12L,3055,178,5.83,2,4,174,4,174,Fulton,12112L
12M,1140,759,66.58,2,9,746,8,751,Fulton,12112M
12N,2102,265,12.61,2,8,255,8,257,Fulton,12112N
12S,275,689,250.55,2,11,677,12,677,Fulton,12112S
AP01A,2062,2999,145.44,2,1391,1604,1364,1630,Fulton,121AP01A
AP01B,5299,590,11.13,2,259,331,258,332,Fulton,121AP01B
AP01C,1319,1405,106.52,2,693,712,678,723,Fulton,121AP01C
AP01D,2421,460,19.0,2,188,272,184,276,Fulton,121AP01D
AP021,1047,1813,173.16,2,900,913,880,931,Fulton,121AP021
AP022,3484,1284,36.85,2,510,769,503,779,Fulton,121AP022
AP02B,2557,353,13.81,2,141,212,135,217,Fulton,121AP02B
AP03,688,212,30.81,2,41,170,42,170,Fulton,121AP03
AP04A,777,1064,136.94,2,558,505,544,520,Fulton,121AP04A
AP04B,1776,269,15.15,2,129,140,127,142,Fulton,121AP04B
AP05,482,2814,583.82,2,1388,1424,1364,1449,Fulton,121AP05
AP06,4835,1092,22.59,2,589,503,568,521,Fulton,121AP06
AP07A,1987,1900,95.62,2,868,1030,855,1042,Fulton,121AP07A
AP07B,3956,1054,26.64,2,532,522,514,540,Fulton,121AP07B
AP09A,1906,2478,130.01,2,1063,1414,1038,1436,Fulton,121AP09A
AP09B,4496,532,11.83,2,162,369,158,373,Fulton,121AP09B
AP10,936,538,57.48,2,320,218,313,224,Fulton,121AP10
AP12A,1002,293,29.24,2,93,199,95,198,Fulton,121AP12A
AP12B,763,351,46.0,2,100,251,101,248,Fulton,121AP12B
AP12C,973,1262,129.7,2,703,556,692,569,Fulton,121AP12C
AP14,2434,1948,80.03,2,868,1080,851,1095,Fulton,121AP14
CH01,3266,133,4.07,2,26,107,26,107,Fulton,121CH01
CH02,702,131,18.66,2,69,61,69,61,Fulton,121CH02
CH03,17,166,976.47,2,93,72,93,73,Fulton,121CH03
CH04A,410,456,111.22,2,206,250,199,256,Fulton,121CH04A
CH05,834,183,21.94,2,121,62,120,63,Fulton,121CH05
CP011,433,536,123.79,2,97,439,95,441,Fulton,121CP011
CP012,1369,732,53.47,2,110,621,109,623,Fulton,121CP012
CP01B,1485,206,13.87,2,52,153,47,159,Fulton,121CP01B
CP02,433,466,107.62,2,50,416,50,416,Fulton,121CP02
CP04A,1233,3,0.24,2,1,2,1,2,Fulton,121CP04A
CP04B,14,13,92.86,2,1,11,2,11,Fulton,121CP04B
CP051,38,667,1755.26,2,11,654,12,654,Fulton,121CP051
CP05B,1765,44,2.49,2,2,42,2,42,Fulton,121CP05B
CP06A,159,119,74.84,2,4,115,5,113,Fulton,121CP06A
CP07B,735,0,0.0,1,0,0,0,0,Fulton,121CP07B
CP07C,7,42,600.0,2,1,41,0,42,Fulton,121CP07C
CP07D,328,129,39.33,2,4,125,4,125,Fulton,121CP07D
CP07E,804,22,2.74,2,0,22,0,22,Fulton,121CP07E
CP07F,137,31,22.63,2,2,29,0,31,Fulton,121CP07F
CP081,270,46,17.04,2,0,46,0,46,Fulton,121CP081
CP083,376,12,3.19,2,0,12,0,12,Fulton,121CP083
CP084,243,0,0.0,1,0,0,0,0,Fulton,121CP084
CP08A,1,64,6400.0,2,0,63,0,64,Fulton,121CP08A
EP01A,786,1186,150.89,2,83,1101,80,1106,Fulton,121EP01A
EP01B,3025,1225,40.5,2,61,1160,61,1162,Fulton,121EP01B
EP02A,3492,761,21.79,2,40,716,39,720,Fulton,121EP02A
EP02B,2474,921,37.23,2,107,813,108,811,Fulton,121EP02B
EP02C,1712,241,14.08,2,36,204,32,208,Fulton,121EP02C
EP02D,535,196,36.64,2,2,194,2,194,Fulton,121EP02D
EP02E,459,539,117.43,2,18,521,17,521,Fulton,121EP02E
EP03A,1697,2162,127.4,2,79,2077,78,2079,Fulton,121EP03A
EP03B,4960,848,17.1,2,28,819,26,821,Fulton,121EP03B
EP04A,1551,1281,82.59,2,18,1261,12,1268,Fulton,121EP04A
EP04B,5132,1129,22.0,2,21,1107,18,1111,Fulton,121EP04B
EP04C,2655,715,26.93,2,23,690,21,693,Fulton,121EP04C
FA01A,1333,1836,137.73,2,172,1664,169,1666,Fulton,121FA01A
FA01B,4100,2794,68.15,2,221,2572,210,2582,Fulton,121FA01B
FA01C,5995,339,5.65,2,8,330,8,331,Fulton,121FA01C
FA01D,792,148,18.69,2,5,142,6,142,Fulton,121FA01D
FC01,326,108,33.13,2,1,107,1,107,Fulton,121FC01
FC02,336,32,9.52,2,5,27,5,27,Fulton,121FC02
FC03,593,8,1.35,2,1,7,1,7,Fulton,121FC03
HP01,17,1300,7647.06,2,251,1047,242,1054,Fulton,121HP01
JC01,3887,2281,58.68,2,766,1513,741,1535,Fulton,121JC01
JC01A,4174,855,20.48,2,218,636,222,633,Fulton,121JC01A
JC02,1751,1469,83.89,2,526,943,516,951,Fulton,121JC02
JC03A,3060,334,10.92,2,125,209,119,215,Fulton,121JC03A
JC03B,598,815,136.29,2,260,555,258,557,Fulton,121JC03B
JC04A,1639,2061,125.75,2,872,1187,838,1219,Fulton,121JC04A
JC04B,3196,171,5.35,2,56,114,52,118,Fulton,121JC04B
JC04C,340,725,213.24,2,250,473,231,494,Fulton,121JC04C
JC05,1261,1257,99.68,2,476,779,466,790,Fulton,121JC05
JC06,2351,1429,60.78,2,678,751,671,756,Fulton,121JC06
JC07,2880,2567,89.13,2,961,1606,950,1612,Fulton,121JC07
JC08,4742,1684,35.51,2,743,940,730,951,Fulton,121JC08
JC09,2967,1685,56.79,2,620,1065,617,1066,Fulton,121JC09
JC10,3288,1341,40.78,2,430,907,431,907,Fulton,121JC10
JC11,2674,1906,71.28,2,975,927,963,941,Fulton,121JC11
JC12,3520,1756,49.89,2,1068,688,1054,702,Fulton,121JC12
JC13A,2870,1399,48.75,2,855,542,844,553,Fulton,121JC13A
JC13B,2341,179,7.65,2,134,45,128,50,Fulton,121JC13B
JC14,289,1612,557.79,2,850,762,831,779,Fulton,121JC14
JC15,2636,477,18.1,2,164,310,165,309,Fulton,121JC15
JC16,979,1506,153.83,2,644,861,639,865,Fulton,121JC16
JC18,2729,1781,65.26,2,903,877,878,901,Fulton,121JC18
JC19,2864,2439,85.16,2,1052,1385,1036,1401,Fulton,121JC19
ML01A,4223,1585,37.53,2,889,695,864,718,Fulton,121ML01A
ML01B,2830,399,14.1,2,246,153,243,156,Fulton,121ML01B
ML02A,725,1289,177.79,2,873,416,856,432,Fulton,121ML02A
ML02B,2623,1061,40.45,2,699,360,678,378,Fulton,121ML02B
ML03,1950,2093,107.33,2,1331,761,1297,795,Fulton,121ML03
ML03A,3775,154,4.08,2,110,44,107,47,Fulton,121ML03A
ML04,309,1788,578.64,2,1045,739,1039,746,Fulton,121ML04
ML05,3361,2455,73.04,2,1168,1286,1150,1303,Fulton,121ML05
ML06A,4918,853,17.34,2,215,637,206,647,Fulton,121ML06A
ML06B,2236,1466,65.56,2,444,1022,441,1024,Fulton,121ML06B
ML07A,3152,382,12.12,2,237,145,229,151,Fulton,121ML07A
ML07B,854,783,91.69,2,473,308,466,317,Fulton,121ML07B
MP01,1706,76,4.45,2,30,46,29,47,Fulton,121MP01
PA01,473,1274,269.34,2,241,1031,241,1032,Fulton,121PA01
RW01,3072,2926,95.25,2,1584,1340,1554,1370,Fulton,121RW01
RW02,5097,2180,42.77,2,997,1182,966,1212,Fulton,121RW02
RW03,4090,2231,54.55,2,861,1368,847,1377,Fulton,121RW03
RW04,5128,1199,23.38,2,502,695,497,701,Fulton,121RW04
RW05,1872,1161,62.02,2,365,795,353,808,Fulton,121RW05
RW06,2978,1633,54.84,2,650,982,640,990,Fulton,121RW06
RW07A,3124,452,14.47,2,46,406,44,408,Fulton,121RW07A
RW07B,1801,141,7.83,2,26,115,27,114,Fulton,121RW07B
RW08,452,1227,271.46,2,679,547,657,568,Fulton,121RW08
RW09,2456,2598,105.78,2,1509,1087,1484,1112,Fulton,121RW09
RW09A,4495,1049,23.34,2,617,429,600,445,Fulton,121RW09A
RW10,1923,2104,109.41,2,1137,963,1116,985,Fulton,121RW10
RW11A,3695,1364,36.91,2,568,794,556,808,Fulton,121RW11A
RW12,2903,2207,76.02,2,1177,1029,1163,1043,Fulton,121RW12
RW12A,3934,1386,35.23,2,679,705,661,725,Fulton,121RW12A
RW13,2512,2060,82.01,2,935,1123,913,1146,Fulton,121RW13
RW16,3802,1167,30.69,2,589,577,569,597,Fulton,121RW16
RW17,2143,1433,66.87,2,493,940,487,946,Fulton,121RW17
RW19,3141,1295,41.23,2,709,585,694,598,Fulton,121RW19
RW20,2172,1673,77.03,2,797,875,775,895,Fulton,121RW20
RW21,2730,1999,73.22,2,1163,835,1131,866,Fulton,121RW21
RW22A,3410,2121,62.2,2,746,1374,730,1390,Fulton,121RW22A
SC01A,4864,18,0.37,2,2,16,2,16,Fulton,121SC01A
SC01B,43,1365,3174.42,2,30,1333,28,1335,Fulton,121SC01B
SC01C,2131,1417,66.49,2,37,1378,33,1382,Fulton,121SC01C
SC02,2275,943,41.45,2,23,919,24,917,Fulton,121SC02
SC04,1429,494,34.57,2,108,386,105,389,Fulton,121SC04
SC05A,1088,360,33.09,2,6,354,6,354,Fulton,121SC05A
SC05B,733,1989,271.35,2,44,1940,37,1951,Fulton,121SC05B
SC05D,3682,1542,41.88,2,35,1506,34,1508,Fulton,121SC05D
SC05E,2891,360,12.45,2,47,313,47,313,Fulton,121SC05E
SC07A,689,2497,362.41,2,226,2268,218,2276,Fulton,121SC07A
SC07C,4582,5,0.11,2,0,5,0,5,Fulton,121SC07C
SC07D,41,995,2426.83,2,34,961,31,963,Fulton,121SC07D
SC08B,2076,1876,90.37,2,53,1819,48,1825,Fulton,121SC08B
SC08C,4155,50,1.2,2,0,50,0,50,Fulton,121SC08C
SC08D,96,270,281.25,2,4,266,3,267,Fulton,121SC08D
SC08E,612,308,50.33,2,2,306,2,306,Fulton,121SC08E
SC08F,742,327,44.07,2,3,323,4,323,Fulton,121SC08F
SC08G,808,1,0.12,2,0,1,0,1,Fulton,121SC08G
SC08H,15,0,0.0,1,0,0,0,0,Fulton,121SC08H
SC09A,1,638,63800.0,2,21,615,18,619,Fulton,121SC09A
SC09B,1896,935,49.31,2,19,914,18,916,Fulton,121SC09B
SC09C,1941,723,37.25,2,17,702,15,708,Fulton,121SC09C
SC10,1881,480,25.52,2,10,470,8,472,Fulton,121SC10
SC11A,1933,722,37.35,2,12,708,11,708,Fulton,121SC11A
SC11B,1697,786,46.32,2,15,770,15,770,Fulton,121SC11B
SC13,1718,1594,92.78,2,66,1528,61,1531,Fulton,121SC13
SC14A,2949,377,12.78,2,2,375,2,375,Fulton,121SC14A
SC15,1040,2330,224.04,2,74,2256,76,2254,Fulton,121SC15
SC15A,4584,1410,30.76,2,21,1387,14,1395,Fulton,121SC15A
SC16A,2504,3005,120.01,2,43,2958,41,2961,Fulton,121SC16A
SC17A,5228,38,0.73,2,1,37,1,37,Fulton,121SC17A
SC17B,60,0,0.0,1,0,0,0,0,Fulton,121SC17B
SC17C,10,571,5710.0,2,10,560,11,560,Fulton,121SC17C
SC18A,1328,273,20.56,2,7,264,7,264,Fulton,121SC18A
SC18B,561,555,98.93,2,13,542,12,543,Fulton,121SC18B
SC18C,942,1282,136.09,2,32,1248,32,1247,Fulton,121SC18C
SC19A,2116,113,5.34,2,6,107,6,107,Fulton,121SC19A
SC19B,213,531,249.3,2,13,518,14,517,Fulton,121SC19B
SC20,1676,1683,100.42,2,22,1661,22,1661,Fulton,121SC20
SC211,2584,951,36.8,2,33,917,31,919,Fulton,121SC211
SC212,1862,2014,108.16,2,84,1927,75,1938,Fulton,121SC212
SC23A,4316,1518,35.17,2,20,1496,17,1500,Fulton,121SC23A
SC23B,3940,253,6.42,2,6,247,5,248,Fulton,121SC23B
SC23C,562,1038,184.7,2,21,1016,21,1016,Fulton,121SC23C
SC27,2634,1056,40.09,2,19,1036,16,1040,Fulton,121SC27
SC29A,2391,1279,53.49,2,25,1251,25,1253,Fulton,121SC29A
SC30A,3176,95,2.99,2,2,93,1,94,Fulton,121SC30A
SC30B,160,461,288.13,2,5,456,5,454,Fulton,121SC30B
SS01,1121,2979,265.74,2,1646,1328,1608,1364,Fulton,121SS01
SS02A,4908,687,14.0,2,250,437,244,442,Fulton,121SS02A
SS02B,1217,613,50.37,2,133,478,131,478,Fulton,121SS02B
SS03,1339,886,66.17,2,312,572,299,585,Fulton,121SS03
SS04,1590,1866,117.36,2,604,1257,586,1276,Fulton,121SS04
SS05,3834,1175,30.65,2,524,649,511,661,Fulton,121SS05
SS06,1870,1053,56.31,2,520,532,502,550,Fulton,121SS06
SS07A,1691,796,47.07,2,405,388,395,397,Fulton,121SS07A
SS07B,1268,407,32.1,2,131,276,129,278,Fulton,121SS07B
SS07C,815,397,48.71,2,187,208,185,211,Fulton,121SS07C
SS08A,816,805,98.65,2,205,598,198,606,Fulton,121SS08A
SS08B,1940,455,23.45,2,220,234,214,240,Fulton,121SS08B
SS08C,713,366,51.33,2,106,260,104,261,Fulton,121SS08C
SS08D,728,716,98.35,2,205,510,206,510,Fulton,121SS08D
SS09A,1609,2021,125.61,2,1068,953,1047,968,Fulton,121SS09A
SS09B,3207,2343,73.06,2,1228,1113,1185,1152,Fulton,121SS09B
SS11A,3650,1804,49.42,2,653,1149,635,1168,Fulton,121SS11A
SS11B,4062,582,14.33,2,155,427,150,430,Fulton,121SS11B
SS11C,1425,117,8.21,2,13,104,13,104,Fulton,121SS11C
SS11D,367,230,62.67,2,114,116,110,120,Fulton,121SS11D
SS12,400,1602,400.5,2,720,879,718,883,Fulton,121SS12
SS13A,2937,965,32.86,2,415,550,409,555,Fulton,121SS13A
SS13B,2139,609,28.47,2,260,349,249,358,Fulton,121SS13B
SS14,1333,866,64.97,2,515,351,503,359,Fulton,121SS14
SS15A,1435,886,61.74,2,92,792,90,796,Fulton,121SS15A
SS15B,2834,655,23.11,2,167,488,162,491,Fulton,121SS15B
SS16,1744,1342,76.95,2,681,659,667,675,Fulton,121SS16
SS17,2133,1867,87.53,2,888,978,873,990,Fulton,121SS17
SS18A,3711,405,10.91,2,184,221,179,225,Fulton,121SS18A
SS18B,656,148,22.56,2,66,82,64,84,Fulton,121SS18B
SS19A,243,1357,558.44,2,316,1041,310,1046,Fulton,121SS19A
SS19B,3344,1115,33.34,2,309,806,298,817,Fulton,121SS19B
SS20,2365,1021,43.17,2,302,716,296,720,Fulton,121SS20
