name,county,sosid
Boynton,Catoosa,047BOYN
Catoosa Keith,Catoosa,047CAKT
Chambers,Catoosa,047CHAM
Ft Oglethorpe,Catoosa,047FT O
Graysville,Catoosa,047GRAY
Lakeview,Catoosa,047LAKE
Poplar Springs,Catoosa,047POPS
Ringgold,Catoosa,047RING
Westside,Catoosa,047WEST
Woodstation,Catoosa,047WOOD
Folkston,Charlton,0492
GA Bend,Charlton,0493B
St George,Charlton,0493S
American Legion,Charlton,0494A
Homeland,Charlton,0494H
Folkston Fire,Charlton,0495F
Racepond,Charlton,0495R
Winokur,Charlton,0495W
Coldwater,Chattooga,0551083
Dirtseller,Chattooga,0551216
Haywood,Chattooga,0551382
Lyerly,Chattooga,0551484
Trion,Chattooga,055870
Summerville,Chattooga,055925
Teloga,Chattooga,055927
Dirttown,Chattooga,055940
Seminole,Chattooga,055961
Subligna,Chattooga,055962
Alpine,Chattooga,055968
Cloudland,Chattooga,055C-968
Pennville,Chattooga,055P-870
Air Acres,Cherokee,057001
Arnold Mill,Cherokee,057002
Avery,Cherokee,057003
Ball Ground,Cherokee,057004
Bascomb,Cherokee,057005
Bells,Cherokee,057006
Booth,Cherokee,057007
Bradshaw,Cherokee,057008
Bridgemill,Cherokee,057009
Canton,Cherokee,057010
Carmel,Cherokee,057011
Clayton,Cherokee,057013
Conns Creek,Cherokee,057014
Deer Run,Cherokee,057015
Dixie,Cherokee,057016
Freehome,Cherokee,057018
Hickory Flat,Cherokee,057019
Hightower,Cherokee,057020
Hillside,Cherokee,057021
Holly Springs,Cherokee,057022
Kellogg,Cherokee,057023
Liberty,Cherokee,057024
Little River,Cherokee,057026
Macedonia,Cherokee,057027
Mountain Road,Cherokee,057028
Neese,Cherokee,057044
Oak Grove,Cherokee,057029
R M Moore,Cherokee,057030
R T Jones,Cherokee,057031
Rosecreek,Cherokee,057032
Salacoa,Cherokee,057033
Sixes,Cherokee,057034
Sutallee,Cherokee,057035
Teasley,Cherokee,057036
Toonigh,Cherokee,057037
Union Hill,Cherokee,057038
Univeter,Cherokee,057039
Victoria,Cherokee,057040
Waleska,Cherokee,057041
Wildcat,Cherokee,057042
Woodlands,Cherokee,057043
Woodstock,Cherokee,057012
1A,Clarke,0591A
